Card Type,Forbidden,Limited,Semi-Limited,Total
Normal,0,4,0,4
Effect,59,156,141,356
Ritual,0,4,4,8
Fusion,5,9,4,18
Synchro,9,15,12,36
Xyz,18,12,7,37
Pendulum,3,12,11,26
Link,13,11,7,31
Spell,38,121,122,281
Trap,17,41,37,95
